12 Retech Corp, E-motion
GREEN SPIRIT INDUSTRIES INC, Coastal Patient Network d/b/a The Green Room Wellness Center
GRIFFON CORP, Clopay Plastics to Berry Global Inc
GROWLIFE INC,
Gastar Exploration Inc,
Golden Matrix Group Inc,
Gopher Protocol Inc,
Gratitude Health Inc, Acquiree
Greenfield Farms Food Inc, Ronald Heineman
GrowGeneration Corp,
H Cell Energy Corp,
HARTE HANKS INC,
HARVARD BIOSCIENCE INC, Denville Scientific
HCBF Holding Company Inc,
HEALTHSTREAM INC,
HEIDRICK STRUGGLES INTERNATIONAL INC, Amrop A/S
HENNESSY ADVISORS INC, Rainier Investment Management LLC
HERITAGE FINANCIAL CORP WA, Puget Sound Bancorp Inc
HERSHEY CO, Amplify Snack Brands Inc
HMG COURTLAND PROPERTIES INC, JY-TV Associates LLC
HUBBELL INC, Meter Readings Holding Group LLC
Hartman vREIT XXI Inc, Richardson Tech
Holly Brothers Pictures Inc
Howard Bancorp Inc, First Mariner Bank
IDT CORP, Rafael Holdings Inc
IIOT OXYS Inc, HereLab Inc
INNOVATE BIOPHARMACEUTICALS INC, Monster Digital Inc
INNOVATIVE FOOD HOLDINGS INC, iGourmet LLC
INNOVATIVE FOOD HOLDINGS INC, iGourmet NY LLC
INTERCLOUD SYSTEMS INC, ADEX Corp
INTERCLOUD SYSTEMS INC, ADEX Puerto Rico LLC
INTERCLOUD SYSTEMS INC, ADEXCOMM
INVESTORS REAL ESTATE TRUST,
IRON MOUNTAIN INC,
ITRON INC WA, Silver Spring Networks Inc
IXYS LLC,
Identiv Inc, 3VR Security Inc
Ignyta Inc,
Image International Group Inc, Tang Dynasty Investment Group Limited
Independence Bancshares Inc,
InfoSonics Corp,
Infrastructure Energy Alternatives Inc,
Ingevity Corp,
Internap Corp, SingleHop
JACK IN THE BOX INC NEW,
Juno Therapeutics Inc, Celgene
KBS Legacy Partners Apartment REIT Inc,
KBS Strategic Opportunity REIT Inc, DOF II City Tower LLC
KEY TECHNOLOGY INC,
KIRBY CORP, Higman Marine Inc
KNOLL INC,
Kandi Technologies Group Inc, Jinhua An Kao Power Technology Co
LENNAR CORP NEW, CalAtlantic Group Inc
LIFETIME BRANDS INC, Buyer Survivor LLC
LILIS ENERGY INC, OneEnergy Partners Operating LLC
LITTELFUSE INC DE,
LIVING 3D HOLDINGS INC, Hong Kong Cryptocurrency Exchange Limited
LRAD Corp,
Lazydays Holdings Inc,
Liberated Syndication Inc,
Liberty Global plc, Liberty Latin America Ltd
Liberty Interactive Corp,
Liberty Latin America Ltd, Liberty Global plc
Liberty Oilfield Services Inc
LiveXLive Media Inc, Slacker Inc
LogMeIn Inc, Google LLC
LogMeIn Inc, Google Ireland
MAGNEGAS CORP,
MARATHON OIL CORP, Waha concessions
MEDICINES CO DE,  Melinta Therapeutics Inc
MELINTA THERAPEUTICS INC NEW, Suchard SA, LLC
MERCURY SYSTEMS INC, Ceres Systems
MEREDITH CORP, Computershare Trust Company N.A.
MERIT MEDICAL SYSTEMS INC, Becton Dickinson and Company
METROSPACES INC, Etelix.Com USA LLC 
MID PENN BANCORP INC,
MIMEDX GROUP INC,
MINING POWER GROUP INC, RCGR Sub Inc
MITU Resources Inc,
MMA CAPITAL MANAGEMENT LLC,
MOMENTOUS ENTERTAINMENT GROUP INC,
MOSAIC CO, VF
MPLX LP, MPLX Fuels Distribution
MPLX LP, MPLX Logistics Holdings LLC
MPLX LP, MPLX Holdings Inc
MPC Investment LLC
MUTUALFIRST FINANCIAL INC, Universal Bancorp
MUTUALFIRST FINANCIAL INC, BloomBank
Mallinckrodt plc, American Stock Transfer & Trust Company LLC
