GROWLIFE INC,
GULF ISLAND FABRICATION INC,Berry GP Inc
GULFMARK OFFSHORE INC,Tidewater
HALCON RESOURCES CORP,
HAMMER FIBER OPTICS HOLDINGS CORP,1stPoint Communications LLC
HarborOne Bancorp Inc,
HARRISON VICKERS WATERMAN INC,NJ Battery Energy Storage Project 1 LLC
Hartman Short Term Income Properties XX Inc,
Hartman vREIT XXI Inc,
Healthier Choices Management Corp,Paradise Health Foods Inc.
HENNESSY ADVISORS INC,BP Capital Fund Advisors LLC
HERSHEY CO,
HIBBETT SPORTS INC,City Gear LLC
HINES GLOBAL INCOME TRUST INC,Fresh Park Venlo B.V.
Hines Global REIT Inc,Hart Campus Playa Vista LLC
HOMEFED CORP,
HOOPER HOLMES INC,Summit Health Inc
Houghton Mifflin Harcourt Co,Riverside Assessments LLC
Hub Group Inc,Cascade Merger Sub Inc
ICAHN ENTERPRISES L P, ICAHN ENTERPRISES HOLDINGS L P, Federal-Mogul LLC
Identiv Inc,Identiv TSS Merger Sub Inc
Independence Contract Drilling Inc,
INDEPENDENT BANK CORP,Rockland Trust, MNB Bancorp, The Milford National Bank, Trust Company
Infrastructure Energy Alternatives Inc,William Charles
Inland Residential Properties Trust Inc,FPA/WC Commons LLC
INNSUITES HOSPITALITY TRUST,Palm Springs Inn LLC 
INTERNATIONAL FLAVORS FRAGRANCES INC,Frutarom Industries Ltd
Invuity Inc,
IONIX TECHNOLOGY INC,Fangguan Electronics
JetPay Corp,NCR Corporation,Orwell Acquisition Corporation
KAPSTONE PAPER PACKAGING CORP,WRKCo,WestRock
Kayne Anderson Acquisition Corp,
KBS Strategic Opportunity REIT Inc,Keppel-KBS Westpark LLC
KERYX BIOPHARMACEUTICALS INC,
Kimbell Royalty Partners LP,
KINGSWAY FINANCIAL SERVICES INC,Mendota Insurance Company
KLX Energy Services Holdings Inc,
KLX Inc,
KMG CHEMICALS INC,
KonaTel Inc,
LAMAR ADVERTISING CO NEW, LAMAR MEDIA CORP DE,FMG Outdoor Holdings LLC,GTCR/FMG Blocker Corp,NCP Fairway, Inc,GTCR Fund XI/C LP,Newstone Capital Partners II L.P.
LaSalle Hotel Properties,
LAWSON PRODUCTS INC NEW DE,Screw Products Inc
Lazydays Holdings Inc,Tennessee RV Sales and Service LLC
LEGACY LIFEPOINT HEALTH INC,
LendingTree Inc,QuoteWizard.com LLC,
Level Brands Inc,AcqCo LLC, cbdMD LLC, Cure Based Development LLC
Life On Earth Inc,
LIGAND PHARMACEUTICALS INC,
Lightstone Value Plus Real Estate Investment Trust V Inc,Axis at Westmont
LINDE PLC,Praxair Inc.,Linde plc
Longfin Corp,
Lumentum Holdings Inc,
LUNA INNOVATIONS INC,
Macquarie Infrastructure Corp,NHIP II Bayonne Holdings LLC
MAGICJACK VOCALTEC LTD,
MAGNEGAS APPLIED TECHNOLOGY SOLUTIONS INC,
Majesco,
Malibu Boats Inc,S2 Yachts Inc.
MARCHEX INC,
MARIMED INC,GenCanna Global Inc
Marker Therapeutics Inc,
MAXWELL TECHNOLOGIES INC,RN C Holding SA
MCBC Holdings Inc,
MEDCAREERS GROUP Inc,
MeiraGTx Holdings plc,
MERCER INTERNATIONAL INC,DMI
MERIT MEDICAL SYSTEMS INC,Cianna Medical Inc., CMI Transaction Co., Fortis Advisors LLC
MIDWEST HOLDING INC,
Millendo Therapeutics Inc,
MINING POWER GROUP INC,
Mistras Group Inc,
MITEL NETWORKS CORP,MLN AcquisitionCo ULC,MLN TopCo Ltd
MMA CAPITAL MANAGEMENT LLC,Bank of America Corporation
Mobiquity Technologies Inc,Glen Eagles Acquisition LP, AVNG Acquisition Sub LLC, Advangelists LLC 
MOBIVITY HOLDINGS CORP,
MOJO DATA SOLUTIONS INC,InVision Software
MOLINA HEALTHCARE INC,
Monaker Group Inc,
Mount TAM Biotechnologies Inc,ARJ Consulting LLC
MOVADO GROUP INC,
Mueller Water Products Inc,Krausz Industries Development Ltd
MURPHY OIL CORP DE,PAI and MP Gulf of Mexico LLC
NATHANS FAMOUS INC,660 86 LLC
NATURAL RESOURCE PARTNERS LP,VantaCore Partners LLC
NCI BUILDING SYSTEMS INC,
NEOGENOMICS INC,Genesis Acquisition Holdings Corp
New Age Beverages Corp,Morinda Holdings Inc,New Age Health Sciences Holdings Inc.
NEXIEN BIOPHARMA INC,
NextEra Energy Partners LP,
nFusz Inc,
Nine Energy Service Inc,Magnum Oil Tools International LTD, Magnum Oil Tools GP LLC, Magnum Oil Tools Canada Ltd.
Northern Power Systems Corp,Natural Generation Limited
NorthStar Realty Europe Corp,Platin, Luxembourg Investment Company 
NorthStar RXR New York Metro Real Estate Inc,
NORTHWEST BIOTHERAPEUTICS INC,Huawei Technologies Research & Development (UK) Limited
NORTHWEST NATURAL GAS CO,
NRC GROUP HOLDINGS CORP,
NuLife Sciences Inc,LJR
NutriBand Inc,4P Therapeutics LLC
Nuveen Global Cities REIT Inc,Main Street Kingwood LTD
Oasis Midstream Partners LP,OMS Holdings LLC,OMP GP LLC
Oasis Petroleum Inc,Oasis Midstream Partners LP,OMS Holdings LLC, OMP GP LLC
OCLARO INC,
OCWEN FINANCIAL CORP,PHH
ONE STOP SYSTEMS INC,
OptimizeRx Corp,CareSpeak
Organogenesis Holdings Inc,
Oxford Immunotec Global PLC,Quest Diagnostics Incorporated
PARETEUM Corp,Artilium plc
PARK ELECTROCHEMICAL CORP,AGC Inc
PBF Logistics LP,Crown Point International LLC
PEABODY ENERGY CORP,Shoal Creek metallurgical coal mine
Peak Resorts Inc,
Pebblebrook Hotel Trust,LaSalle Hotel Properties,
PENN NATIONAL GAMING INC,
PERRY ELLIS INTERNATIONAL INC,
PHH CORP,
PHI GROUP INC,Vinafilms Joint Stock Company
Phillips Edison Company Inc,Phillips Edison Grocery Center Operating Partnership I L.P.,REIT Merger Sub LLC,OP Merger Sub LLC,OP Merger Sub 2 LLC,Phillips Edison Grocery Center REIT II Inc,Phillips Edison Grocery Center Operating Partnership II L.P.
PHILLIPS EDISON GROCERY CENTER REIT II INC,REIT Merger Sub LLC,
Pinnacle Entertainment Inc,
PINNACLE FOODS INC,Effective Time
PJT Partners Inc,
Planet Green Holdings Corp,American Lorain Corporation
PLEDGE PETROLEUM CORP,RTS, Christopher Headrick
Plymouth Industrial REIT Inc,Jacksonville Property
PNMAC Holdings Inc,
Point Capital Inc,Blind Faith Concepts Holdings Inc.
Post Holdings Inc,8th Avenue Food & Provisions Inc.,THL Equity Fund VIII Investors (PB) LLC
PRAXAIR INC,Linde plc
PREMIER FINANCIAL BANCORP INC,First Bank of Charleston Inc.
Priority Technology Holdings Inc,
Q2 Holdings Inc,Cloud Lending Inc
Quest Solution Inc,Walefar, Campbeltown
QUINSTREET INC,AmOne
R F INDUSTRIES LTD,
RADISYS CORP,Reliance
RBB Bancorp,
RCM TECHNOLOGIES INC,
REALPAGE INC,Rentlytics Inc.
Reis Inc,
ReShape Lifesciences Inc,
RESMED INC,MatrixCare Holdings Inc
RiceBran Technologies,Golden Ridge Rice Mills LLC, Wayne and Wendy Wilkison, G E Mills LLC
River Financial Corp,PSB Bancshares Inc. 
RLJ ENTERTAINMENT INC,
RMG Networks Holding Corp,
ROCKWELL COLLINS INC,UTC
RODIN GLOBAL PROPERTY TRUST INC,
Royale Energy Inc,West Coast Energy Properties Limited Partnership
RumbleON Inc,
S W Seed Co,Chromatin Inc
Safety Income Growth Inc,
SANGAMO THERAPEUTICS INC,TxCell S.A.
SB ONE BANCORP,Enterprise Bank N.J.
SEACOAST BANKING CORP OF FLORIDA,First Green Bancorp Inc.
Sears Oil Gas,Human Brands International Inc.
SELECT INCOME REIT,
Senmiao Technology Ltd,
SENOMYX INC,Firmenich Incorporated,Sentry Merger Sub Inc
SERVICEMASTER GLOBAL HOLDINGS INC,
SIGA TECHNOLOGIES INC,
Simlatus Corp,
Sirius International Insurance Group Ltd,
