1ST CONSTITUTION BANCORP,New Jersey Community Bank
INNOVATIVE INDUSTRIAL PROPERTIES INC,
Inovalon Holdings Inc,
International Seaways Inc,Gener8 Maritime Subsidiary VII Inc.
J M SMUCKER Co,NU Pet Company
Jacksonville Bancorp Inc,CNB Bank & Trust
JANEL CORP,Antibodies
Jefferies Financial Group Inc,Marfrig Global Foods S.A.
KBS Legacy Partners Apartment REIT Inc,Elite Street Capital Lofts Equity DE LLC
Kearny Financial Corp,Clifton Bancorp Inc.
Koppers Holdings Inc,
KRATOS DEFENSE SECURITY SOLUTIONS INC,Securitas Electronic Security Inc.
Kush Bottles Inc,
LA JOLLA PHARMACEUTICAL CO,HCR
La Quinta Holdings Inc,Wyndham Worldwide
LAUREATE EDUCATION INC,
LAYNE CHRISTENSEN CO,Granite
LCNB CORP,Columbus First Bank
LEAF GROUP LTD,
Leo Motors Inc,
LHC Group Inc,Almost Family
Life On Earth Inc,
Lightwave Logic Inc,
LivaNova PLC,MicroPort Cardiac Rhythm B.V.
Live Nation Entertainment Inc,Rock City S.A.
Luckwel Pharmaceuticals Inc,
MACKINAC FINANCIAL CORP MI,
MACOM Technology Solutions Holdings Inc,CIG Shanghai Co. Ltd.
MAGNEGAS CORP,
MAINSOURCE FINANCIAL GROUP,
MARTIN MARIETTA MATERIALS INC,Panadero Corp.
MCDERMOTT INTERNATIONAL INC,CB&I Newco
Medidata Solutions Inc,SHYFT Analytics Inc.
Meridian Waste Solutions Inc,Attis Healthcare
MICROCHIP TECHNOLOGY INC,Microsemi
MICRONET ENERTEC TECHNOLOGIES INC,Enertec Management Ltd.
MICROSEMI CORP,Microchip Technology Incorporated,Maple Acquisition Corporation
MIDDLEBY CORP,
Midstates Petroleum Company Inc,
MINDBODY Inc,Booker Software Inc.
MITEK SYSTEMS INC,A2iA Group II S.A.S.
MONSANTO CO NEW,
MULESOFT INC,salesforce.com inc.
NAKED BRAND GROUP INC,Holdco,Bendon Investments Ltd.
National Art Exchange Inc,Cang Bo Tian Xia Co, Ltd
National Energy Services Reunited Corp,GES,NPS
NEULION INC,
NEW ENGLAND REALTY ASSOCIATES LIMITED PARTNERSHIP,
NEW JERSEY MINING CO,
Newmarkt Corp,Ozop Surgical Inc.
NextEra Energy Partners LP,Cordelio Power
NN INC,PMG
NORTHROP GRUMMAN CORP DE,Orbital ATK Inc.
Northrop Grumman Innovation Systems Inc,
Nuveen Global Cities REIT Inc,SWH Wyatt Defoor Hills LLC
nVent Electric plc,Pentair
OLB GROUP INC,
OLD LINE BANCSHARES INC,Bay Bancorp Inc.
One Horizon Group Inc,Banana Whale Studios Pte. Ltd.
Orgenesis Inc,
ORTHOFIX INTERNATIONAL N V,
OWENS MINOR INC VA,
Pacific Ventures Group Inc,Royalty Foods LLC
PATRIOT NATIONAL BANCORP INC,
PBF Logistics LP,
PENTAIR plc,nVent
Perspecta Inc,DXC
Photozou Holdings Inc,Photozou Koukoku Co. Ltd.
Playa Hotels Resorts N V,
PLAYERS NETWORK,
PLY GEM HOLDINGS INC,
POLARITYTE INC,Ibex Group, L.L.C.
Poverty Dignified Inc,
Primoris Services Corp,Willbros Group, Inc.
PRO DEX INC,
PURESNAX INTERNATIONAL INC,
Quadrant 4 System Corp,
R1 RCM INC,
RAIT Financial Trust,
REALPAGE INC,
Red Lion Hotels CORP,Third Street Ventures LLC
Resort Savers Inc,Admall Sdn. Bhd.
ReWalk Robotics Ltd,Timwell Corporation Limited
Royale Energy Inc,REF,Matrix,RMX,CIC
RPX Corp,
SALESFORCE COM INC,MuleSoft Inc.
SCOTTS MIRACLE GRO CO,Sunlight Supply Inc.
SEACOR HOLDINGS INC NEW,Hawker Pacific Airservices Limited
Sharing Services Inc,
Shell Midstream Partners L P,Legacy Direct LLC.
SHUTTERFLY INC,Lifetouch Inc.
